Gene ID	source_id	Genomic Location (Gene)	Product Description	
Cgd5_40	Cgd5_40-RA	CM000433:10,685..16,339(-)	Uncharacterized Secreted Protein	
cgd1_1250	cgd1_1250-RA	CM000429:301,025..308,356(+)	Uncharacterized Secreted Protein (CpLSP gene family)	
cgd1_1290	cgd1_1290-RA	CM000429:313,071..313,871(+)	Apicomplexa specific secreted protein Pf (23508265)	
cgd1_140	cgd1_140-RA	CM000429:32,681..36,402(+)	Uncharacterized Secreted Protein (CpLSP gene family)	
cgd1_150	cgd1_150-RA	CM000429:39,429..42,553(+)	Uncharacterized Secreted Protein (SKSR gene family)	
cgd1_160	cgd1_160-RA	CM000429:42,900..45,885(+)	Uncharacterized Secreted Protein (SKSR gene family)	
cgd1_1680	cgd1_1680-RA	CM000429:396,525..399,626(-)	Insulinase like protease	
cgd1_2400	cgd1_2400-RA	CM000429:530,055..531,050(+)	Uncharacterized secreted protein	
cgd1_2403	cgd1_2403-RA	CM000429:531,205..531,758(+)	unspecified product	
cgd1_3850	cgd1_3850-RA	CM000429:868,819..871,593(+)	Uncharacterized Secreted Protein (SKSR gene family)	
cgd1_650	cgd1_650-RA	CM000429:153,238..157,059(-)	Uncharacterized Secreted Protein (CpLSP gene family)	
cgd2_2610	cgd2_2610-RA	CM000430:528,824..536,662(-)	Secreted GGC gene family protein	
cgd2_4270	cgd2_4270-RA	CM000430:956,318..960,091(+)	Secreted insulinase-like peptidase	
cgd2_4380	cgd2_4380-RA	CM000430:983,545..985,208(+)	Signal peptide containing protein/gene anchored to telomere	
cgd2_640	cgd2_640-RA	CM000430:144,651..145,670(-)	Metallo-dependent phosphatase-like protein	
cgd3_10	cgd3_10-RA	CM000431:2,886..6,047(-)	Uncharacterized Secreted Protein (SKSR gene family)	
cgd3_1580	cgd3_1580-RA	CM000431:432,151..436,314(+)	Alpha glucosidase-like faimly 31 glycosyl hydrolases	
